tract,buss_licences,building_violations,vehicle_theft,burglary,robbery,public_peace_violation,weapons_violation,sexual_assault,homicides,rodents,garbage,sanitation,abandon_vehicles,pot_holes,tree_trims,street_lights,S0101_C01_001E,S1101_C01_002E,S1401_C02_001E,S1401_C02_030E,S1501_C02_002E,S1501_C02_008E,S1601_C02_003E,S1701_C03_001E,S1810_C03_001E,S1901_C01_012E,S2201_C02_001E,S2301_C03_001E,S2701_C03_001E
50300,3.5074045206547155,1.558846453624318,1.558846453624318,3.117692907248636,0.3897116134060795,0.0,0.0,0.3897116134060795,0.0,4.676539360872955,10.522213561964147,6.235385814497272,10.911925175370227,27.279812938425568,18.316445830085737,3.117692907248636,2566.0,2.36,61.0,-888888888.0,0.0,1.2,66.2,9.1,8.9,86023.0,35.0,72.3,7.0
50500,8.201304753028891,8.760484622553587,1.6775396085740912,3.168685927306617,0.9319664492078285,0.0,0.0,0.1863932898415657,0.0,33.36439888164026,12.301957129543336,3.168685927306617,8.946877912395154,19.384902143522833,11.929170549860205,3.168685927306617,5365.0,2.46,55.4,-888888888.0,43.3,3.1,77.7,1.7,5.3,95741.0,11.0,77.8,9.5
50600,4.5567522783761385,12.841756420878209,1.2427506213753106,4.5567522783761385,0.4142502071251035,0.4142502071251035,0.0,0.0,0.0,38.11101905550952,9.942004971002484,7.456503728251864,13.256006628003313,20.712510356255176,16.570008285004143,4.971002485501242,2414.0,2.27,51.3,-888888888.0,0.0,1.9,53.0,11.0,8.9,84063.0,15.0,71.7,12.0
50700,0.5704506560182545,0.0,0.5704506560182545,3.4227039361095266,0.5704506560182545,0.0,0.0,0.0,0.0,30.233884768967485,3.993154592127781,6.845407872219053,7.986309184255562,21.67712492869367,16.54306902452938,2.852253280091272,1753.0,2.48,53.6,-888888888.0,47.6,9.8,78.0,0.7,5.1,127222.0,14.0,85.0,2.5
50800,21.723896285914506,0.0,0.7007708479327259,4.204625087596356,0.0,0.0,0.0,0.0,0.0,35.0385423966363,19.62158374211633,12.613875262789067,6.306937631394534,21.723896285914506,21.723896285914506,1.4015416958654519,1427.0,2.53,54.3,-888888888.0,0.0,2.4,51.5,4.3,3.4,116750.0,34.0,81.6,3.4
50900,2.4096385542168677,14.457831325301205,1.8072289156626506,3.6144578313253013,0.6024096385542169,0.6024096385542169,0.0,0.0,0.0,40.96385542168675,12.048192771084338,6.626506024096386,10.240963855421688,20.481927710843376,9.036144578313253,4.216867469879518,1660.0,2.42,54.4,-888888888.0,0.0,0.3,88.4,8.3,2.7,83500.0,15.0,77.1,11.8
51100,17.03800786369594,13.761467889908257,0.0,7.863695937090433,0.655307994757536,0.0,0.0,0.655307994757536,0.0,64.22018348623853,14.416775884665793,19.003931847968545,11.140235910878113,31.45478374836173,13.106159895150721,2.621231979030144,1526.0,2.25,53.2,-888888888.0,0.0,0.8,49.1,5.6,5.0,77316.0,23.0,86.5,9.0
51200,0.6402048655569782,12.163892445582587,0.6402048655569782,7.682458386683739,0.0,0.0,0.0,0.0,0.0,47.37516005121639,14.08450704225352,10.883482714468629,11.523687580025609,20.486555697823302,21.12676056338028,1.9206145966709347,1562.0,2.33,43.7,-888888888.0,0.0,3.6,76.8,9.1,5.3,96484.0,28.0,81.9,9.7
51300,0.6772773450728073,0.0,3.3863867253640367,8.127328140873688,0.0,0.0,0.3386386725364037,0.0,0.0,35.218421943785984,19.641043007111413,11.17507619370132,8.127328140873688,15.577378936674569,11.852353538774128,3.0477480528276333,2953.0,2.55,42.5,-888888888.0,0.0,0.0,54.5,4.8,1.2,132500.0,0.0,82.1,1.5
60100,0.38520801232665636,3.852080123266564,0.38520801232665636,4.237288135593221,1.155624036979969,0.7704160246533127,0.0,0.0,0.0,21.956856702619415,10.400616332819721,1.155624036979969,5.007704160246533,19.26040061633282,22.34206471494607,4.237288135593221,2596.0,2.28,33.8,-888888888.0,17.1,0.7,69.1,11.4,4.9,105952.0,45.0,84.8,5.5
60200,2.8222013170272815,5.174035747883349,1.4111006585136407,4.233301975540922,1.4111006585136407,2.351834430856068,0.4703668861712136,0.0,0.0,25.870178739416748,7.055503292568203,2.8222013170272815,7.055503292568203,19.75540921919097,5.644402634054563,5.174035747883349,2126.0,2.01,47.3,-888888888.0,20.0,2.7,59.5,18.7,7.6,62857.0,39.0,75.7,14.3
60300,3.778337531486146,21.09571788413098,1.2594458438287153,2.8337531486146093,0.6297229219143576,0.3148614609571788,0.0,0.3148614609571788,0.0,34.31989924433249,12.279596977329975,4.093198992443325,6.6120906801007555,17.632241813602015,18.261964735516372,4.722921914357682,3176.0,2.47,49.7,-888888888.0,0.0,1.4,69.5,3.4,5.2,105563.0,0.0,86.4,6.7
60400,4.496627529352985,6.245316012990257,0.9992505620784411,3.747189607794154,1.2490632025980515,0.24981264051961027,0.0,0.0,0.0,17.98651011741194,5.995503372470647,6.744941294029478,2.747939045715713,10.492130901823632,6.245316012990257,2.498126405196103,4003.0,2.57,45.9,-888888888.0,0.0,0.0,60.0,10.3,1.2,115163.0,76.0,86.4,8.2
60500,1.6194331983805668,12.14574898785425,1.6194331983805668,4.8582995951417,0.0,0.8097165991902834,0.0,0.0,0.0,22.672064777327932,8.097165991902834,3.2388663967611335,6.477732793522267,18.623481781376515,12.14574898785425,4.048582995951417,1235.0,1.63,28.0,-888888888.0,0.0,7.7,27.8,26.5,16.0,37500.0,152.0,62.2,9.7
60800,0.6198347107438017,5.785123966942149,0.6198347107438017,1.0330578512396695,0.4132231404958678,0.0,0.0,0.2066115702479339,0.0,3.71900826446281,0.2066115702479339,0.8264462809917356,1.2396694214876034,5.785123966942149,1.4462809917355373,1.0330578512396695,4840.0,1.58,28.5,-888888888.0,0.0,1.5,82.4,6.7,3.8,72258.0,78.0,84.0,6.8
60900,2.0716188221367267,0.8878366380585972,2.0716188221367267,1.7756732761171945,1.6277005031074283,0.2959455460195324,0.1479727730097662,0.2959455460195324,0.0,4.735128736312518,0.0,1.4797277300976621,0.7398638650488311,9.618230245634804,2.0716188221367267,1.9236460491269607,6758.0,1.52,46.0,-888888888.0,0.0,8.0,73.3,7.4,8.7,60176.0,88.0,76.5,8.0
61000,15.734265734265735,13.986013986013987,1.1655011655011656,6.993006993006993,4.662004662004662,1.7482517482517483,0.0,1.7482517482517483,0.0,5.244755244755245,7.575757575757576,2.913752913752914,1.1655011655011656,17.482517482517483,5.244755244755245,2.913752913752914,1716.0,2.03,50.4,-888888888.0,0.0,0.0,87.4,14.8,2.6,89766.0,22.0,83.6,11.3
61100,3.055767761650115,6.875477463712758,0.7639419404125287,6.11153552330023,4.583651642475172,5.347593582887701,0.7639419404125287,0.7639419404125287,0.0,34.37738731856379,16.0427807486631,6.875477463712758,0.7639419404125287,20.626432391138273,17.57066462948816,6.11153552330023,1309.0,2.1,45.2,-888888888.0,1.9,0.0,91.8,13.9,0.4,79559.0,9.0,83.3,11.5
61200,4.47427293064877,7.158836689038032,0.894854586129754,4.026845637583893,3.131991051454139,0.447427293064877,0.0,0.0,0.0,25.05592841163311,9.843400447427294,5.8165548098434,1.342281879194631,10.29082774049217,7.6062639821029085,0.447427293064877,2235.0,2.48,31.2,-888888888.0,8.2,0.0,84.8,13.4,3.9,99211.0,9.0,80.9,5.1
61500,3.765465303926842,1.0758472296933836,1.0758472296933836,5.9171597633136095,2.1516944593867673,0.0,0.0,0.0,0.0,26.89618074233459,8.068854222700377,2.1516944593867673,3.2275416890801507,17.21355567509414,14.523937600860679,0.5379236148466918,1859.0,2.31,41.0,-888888888.0,5.9,3.5,64.7,5.8,5.2,96364.0,4.0,83.0,5.9
61800,3.5398230088495577,0.0,2.6548672566371683,5.3097345132743365,1.7699115044247788,0.0,0.0,0.8849557522123894,0.0,4.424778761061948,0.0,8.849557522123895,0.8849557522123894,11.504424778761063,3.5398230088495577,0.0,1130.0,1.53,33.9,-888888888.0,0.0,0.0,78.8,20.7,2.7,49448.0,15.0,75.6,19.3
61901,0.7926023778071334,6.605019815059445,0.2642007926023778,1.5852047556142668,0.0,0.0,0.0,0.0,0.0,2.113606340819022,1.056803170409511,3.1704095112285335,2.113606340819022,6.8692206076618225,0.2642007926023778,0.2642007926023778,3785.0,1.59,49.4,-888888888.0,0.0,4.2,76.0,11.3,3.2,49796.0,122.0,79.6,9.0
61902,0.7416563658838072,9.394313967861558,0.9888751545117429,0.49443757725587145,0.0,0.0,0.0,0.24721878862793573,0.0,0.7416563658838072,0.0,0.9888751545117429,0.9888751545117429,9.147095179233622,0.7416563658838072,2.719406674907293,4045.0,1.45,33.2,-888888888.0,0.0,1.8,80.5,12.4,7.1,50732.0,104.0,68.2,8.6
62000,6.903693476009666,15.188125647221264,3.1066620642043494,6.903693476009666,4.487400759406283,2.416292716603383,1.0355540214014498,0.3451846738004833,0.0,16.568864342423197,4.487400759406283,4.142216085605799,2.7614773904038663,12.426648256817398,8.629616845012082,1.0355540214014498,2897.0,1.92,34.0,-888888888.0,0.0,0.0,72.6,9.1,6.1,80745.0,55.0,87.2,8.0
62100,18.386714116251483,5.041518386714117,2.0759193357058128,5.338078291814947,11.269276393831554,1.1862396204033214,0.0,0.5931198102016607,0.0,5.931198102016608,5.931198102016608,3.262158956109134,1.482799525504152,13.345195729537368,3.262158956109134,1.482799525504152,3372.0,2.11,26.1,-888888888.0,0.0,1.1,71.4,13.5,7.1,101275.0,79.0,85.4,10.8
62200,10.04352192835621,7.700033478406428,1.3391362571141614,7.700033478406428,6.360897221292266,1.004352192835621,0.0,0.0,0.0,35.15232674924673,8.704385671242049,4.686976899899564,3.013056578506863,11.04787412119183,4.017408771342484,0.33478406427854035,2987.0,2.21,29.3,-888888888.0,0.0,0.0,95.9,11.0,4.0,112564.0,38.0,85.9,4.0
62300,4.0792540792540795,7.575757575757576,1.7482517482517483,2.331002331002331,0.5827505827505828,0.0,0.5827505827505828,0.0,0.0,41.95804195804196,15.734265734265735,1.7482517482517483,3.4965034965034967,26.223776223776223,6.993006993006993,4.0792540792540795,1716.0,2.48,40.9,-888888888.0,0.0,1.8,78.9,11.7,2.1,112768.0,35.0,81.7,11.3
62400,3.699136868064118,1.849568434032059,2.4660912453760786,6.165228113440197,3.0826140567200984,0.0,0.0,0.0,0.0,43.15659679408138,15.413070283600492,4.932182490752157,6.781750924784217,19.11220715166461,9.247842170160295,3.699136868064118,1622.0,2.25,24.3,-888888888.0,0.0,0.0,81.4,1.7,4.0,117368.0,19.0,84.3,2.7
62500,2.2354694485842024,7.451564828614009,1.4903129657228018,2.9806259314456036,0.0,0.0,0.0,0.0,0.0,19.374068554396423,6.706408345752608,17.13859910581222,10.432190760059612,47.69001490312966,10.432190760059612,2.2354694485842024,1342.0,2.01,28.3,-888888888.0,0.0,0.0,95.3,10.4,2.8,102250.0,19.0,87.1,6.3
62600,9.20648838228847,5.260850504164839,1.7536168347216132,2.6304252520824196,0.4384042086804033,0.0,0.0,0.4384042086804033,0.0,32.44191144234984,13.1521262604121,13.590530469092503,15.78255151249452,39.01797457255589,29.37308198158702,1.7536168347216132,2281.0,2.39,45.9,-888888888.0,0.0,2.6,66.1,3.5,2.5,95491.0,19.0,75.4,8.9
62700,8.3424011606819,6.166122597025752,1.8135654697134567,4.352557127312296,2.538991657598839,0.0,0.0,0.3627130939426913,0.0,43.52557127312296,17.772941603191875,15.596663039535727,5.44069640914037,35.54588320638375,55.49510337323177,2.176278563656148,2757.0,2.29,43.0,-888888888.0,0.0,2.6,77.2,15.9,5.0,100625.0,89.0,79.1,8.8
